ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source
pem_stem_1,pem,come,jepɨ,j   e   p   ɨ,,alvarez2000construcciones[102]
aka_stem_2,aka,come,jepɨ,j   e   p   ɨ,,akawaiocaesar2003[125]
ing_stem_3,ing,come,jepə,j   e   p   ə,,cruz2005fonologia[415]
ing_stem_4,ing,come,jə,j   ə,,cruz2005fonologia[299]
kax_stem_5,kax,come,johɨ,j   o   h   ɨ,,pc[Spike Gildea]
pat_stem_6,pat,come,jəpɨ,j   ə   p   ɨ,,pc[Spike Gildea]
pat_stem_7,pat,come,jepɨ,j   e   p   ɨ,,pc[Spike Gildea]
mak_stem_8,mak,come,ehə,e   h   ə,,maquiritaricaceres2011[438]
car_stem_9,car,come,eh[ɨ],e   h   ɨ,,robayo2000avance[178]
aku_stem_10,aku,come,eepɨ,e e   +   p   ɨ,The length is unexpected if the form comes from *epɨ; meira1998proto argues that it comes from *əepɨ,meira1998proto[168]
map_stem_11,map,come,epɨ,e   p   ɨ,,muller1975mapoyo[74]
kax_stem_12,kax,come,ehɨ,e   h   ɨ,,pc[Spike Gildea]
tri_stem_13,tri,come,epɨ,e   p   ɨ,,triomeira1999[294]
ara_stem_14,ara,come,ebɨ,e   b   ɨ,,alves2017arara[113]
apa_stem_15,apa,come,oepɨ,o   +   e   p   ɨ,,koehn1986apalai[37]
tri_stem_16,tri,come,əe[pɨ],ə   +   e   p   ɨ,,triomeira1999[294]
ikp_stem_17,ikp,come,arep,a   r   +   e   p,,ikpengpacheco2001[265]
ara_stem_18,ara,come,odebɨ,o   d   +   e   b   ɨ,,alves2017arara[150]
aka_stem_19,aka,come,əsipɨ,ə   s   +   i   p   ɨ,,stegeman2014akawaio[160]
ebak_stem_20,ebak,come,əewɨ,ə   +   e   w   ɨ,,meira2003bakairi[4]
wbak_stem_21,wbak,come,əewə,ə   +   e   w   ə,,meiraDBwbakairi
pan_stem_22,pan,come,ə[ə]pɨ,ə ə   +   p   ɨ,,"panarepayne2013[65, 451]"
yab_stem_23,yab,come,əəpɨ,ə ə   +   p   ɨ,,mendez1959yawarana[68]
yab_stem_24,yab,come,epɨ,e   p   ɨ,,caceres2017yawarana
kar_stem_25,kar,come,o[o]pɨ,o o   +   p   ɨ,,"hoff1968carib[420, 437]"
uxc_stem_26,uxc,come,e[e],e e,,meira2005southern[182];franchetto1986kuikuro[15]
kax_stem_27,kax,come,o[o]hɨ,o o   +   h   ɨ,,pc[Spike Gildea]
ing_stem_28,ing,go,ətə,ə   t   ə,,cruz2005fonologia[291]
tri_stem_29,tri,go,tə[n],t   ə   n,,triomeira1999[292]
way_stem_30,way,go,[ɨ]tə[m],ɨ   t   ə   m,,wayanatavares2005[195]
aku_stem_31,aku,go,[ə]tə[mɨ],ə   t   ə   m   ɨ,,gildea1994akuriyo[87]
ara_stem_32,ara,go,ɨdo,ɨ   d   o,,alves2017arara[153]
ara_stem_33,ara,go,to,t   o,,alves2017arara[80]
hix_stem_34,hix,go,[ɨ]to,ɨ   t   o,,"hixkaryanaderby1985[27, 248]"
wai_stem_35,wai,go,[e]to[m],e   t   o   m,,"waiwaihawkins1998[45, 62]"
ikp_stem_36,ikp,go,aran,a   r   a   n,,ikpengpacheco2001[54]
ikp_stem_37,ikp,go,ero,e   r   o,,ikpengpacheco2001[80]
bak_stem_38,bak,go,[ɨ]tə,ɨ   t   ə,Various unprefixed forms spelled as ⟨ita⟩.,"von1892bakairi[112, 374]"
mak_stem_39,mak,go,ɨtə[mə],ɨ   t   ə   m   ə,,"maquiritaricaceres2011[181, 216]"
car_stem_40,car,go,tə[mə],t   ə   m   ə,,meira1998proto[112];guerrero2016karihona[5]
kar_stem_41,kar,go,to,t   o,,hoff1968carib[168]
kar_stem_42,kar,go,[ɨ]ʔ,ɨ   ʔ,,hoff1968carib[168]
yuk_stem_43,yuk,go,to,t   o,,meira2006syntactic[139]
yab_stem_44,yab,go,tə,t   ə,,caceres2018yawarana[4]
map_stem_45,map,go,tə,t   ə,wɨs-tə-ri. I interpret wɨs- as an allomorph of wɨhɨ ‘1’. /s/ becomes /h/ intervocalically in Mapoyo.,muller1975mapoyo[74]
pan_stem_46,pan,go,tə[n],t   ə   n,,mattei1994diccionario[198]
mac_stem_47,mac,go,[a]tɨ,a   t   ɨ,,"macushiabbott1991[48, 50]"
pem_stem_48,pem,go,[e]tə,e   t   ə,,garcia2006diccionario[172]
kax_stem_49,kax,go,to[mo],t   o   m   o,,pc[Spike Gildea]
uxc_stem_50,uxc,go,[e]te,e   t   e,,franchetto2002kuikuro[6]
bak_stem_51,bak,say,ke,k   e,,meira2005bakairi[267]
bak_stem_52,bak,say,ge,g   e,,meira2003bakairi[4]
uxc_stem_53,uxc,say,ki,k   i,,franchetto2008absolutivo[48]
ikp_stem_54,ikp,say,ge,g   e,,ikpengpacheco2001[209]
ikp_stem_55,ikp,say,k[e],k   e,,"ikpengpacheco2001[209, 279]"
ara_stem_56,ara,say,ge,g   e,,alves2017arara[80]
ara_stem_57,ara,say,ke,k   e,,alves2017arara[153]
hix_stem_58,hix,say,ka[s],k   a   s,,hixkaryanaderby1985[182]
car_stem_59,car,say,ka,k   a,,meira1998proto[113]
apa_stem_60,apa,say,ka[ʃi],k   a   ʃ   i,,koehn1986apalai[107]
wai_stem_61,wai,say,ka[s],k   a   s,,waiwaihawkins1998[26]
kax_stem_62,kax,say,ka[s],k   a   s,,pc[Spike Gildea]
tri_stem_63,tri,say,ka,k   a,,meira1998proto[113]
way_stem_64,way,say,ka[i],k   a   i,,camargo2010wayana[66]
aku_stem_65,aku,say,ka,k   a,,meira1998proto[113]
mac_stem_66,mac,say,ka,k   a,,macushiabbott1991[59]
pem_stem_67,pem,say,ka,k   a,,swiggers2010gramatica[123]
kar_stem_68,kar,say,ka,k   a,,courtz2008carib[430]
kap_stem_69,kap,say,ka,k   a,,akawaiocaesar2003[125]
pan_stem_70,pan,say,ka[h],k   a   h,,mattei1994diccionario[102]
kax_stem_71,kax,go_down,ɨhɨto,ɨ   h   ɨ   t   o,,pc[Spike Gildea]
yuk_stem_72,yuk,go_down,ew[uh]tu,e   w   u   h   t   u,,meira2003primeras
hix_stem_73,hix,go_down,hto,h   t   o,,hixkaryanaderby1979[196]
PWai_stem_74,PWai,go_down,hto,h   t   o,,
wai_stem_75,wai,go_down,hto,h   t   o,,waiwaihawkins1998[55]
PPek_stem_76,PPek,go_down,ɨptə,ɨ   p   t   ə,,
PTar_stem_77,PTar,go_down,ɨpɨtə,ɨ   p   ɨ   t   ə,,
car_stem_78,car,go_down,ehɨtə,e   h   ɨ   t   ə,,guerrero2019carijo[118]
way_stem_79,way,go_down,ɨptə,ɨ   p   t   ə,,camargo2010wayana[44]
apa_stem_80,apa,go_down,ɨhto,ɨ   h   t   o,,camargo2002lexico[99]
kar_stem_81,kar,go_down,onɨʔto,o   +   n   +   ɨ   ʔ   t   o,,courtz2008carib[263]
mak_stem_82,mak,go_down,əʔtə,ə   ʔ   t   ə,,maquiritaricaceres2011[450]
kap_stem_83,kap,go_down,uʔtə,u   ʔ   t   ə,,stegeman2014akawaio[139]
pem_stem_84,pem,go_down,uʔtə,u   ʔ   t   ə,,alvarez2008clausulas[139]
mac_stem_85,mac,go_down,autɨ,a   u   t   ɨ,,macushiabbott1991[34]
pan_stem_86,pan,go_down,əhtə,ə   h   t   ə,,mattei1994diccionario[88]
yab_stem_87,yab,go_down,əhtə,ə   h   t   ə,,mendez1959yawarana[68]
wmr_stem_88,wmr,go_down,ɨtɨ,ɨ   t   ɨ,,bruno1996dictionary[58]
aku_stem_89,aku,go_down,ɨ[h]tə,ɨ   h   t   ə,,gildea1994akuriyo[84]
ara_stem_90,ara,go_down,iptoŋ,i   p   t   o   +   ŋ,,alves2017arara[153]
bak_stem_91,bak,go_down,ɨtəgɨ,ɨ   t   ə   +   g   ɨ,"Classified as Sa based on a single, poorly understood form k-itaké-he.",von1892bakairi[137]
ikp_stem_92,ikp,go_down,iptoŋ,i   p   t   o   +   ŋ,,pc[Angela Fabíola Alves Chagas]
tri_stem_93,tri,go_down,ɨhtə,ɨ   h   t   ə,,meira1998proto[116]
PPar_stem_94,PPar,go_down,ɨɸɨto,ɨ   ɸ   ɨ   t   o,,
kar_stem_95,kar,defecate,uweka,u   w   e   k   a,,courtz2008carib[418]
