"Meaning_ID","Verb_Cognateset_ID","Language_ID","Inflection","Form","Prefix_Cognateset_ID","Source","Full_Form","Comment"
"say","say","aku",2,"mɨ-ka-","2sa","meira1998proto[113]",,
"say","say","aku",3,"nɨ-ka-","3sa","meira1998proto[113]",,
"come","DETRZ+come","aku",1,"∅-ee+pɨ-","1w","meira1998proto[114]","∅-e:pɨ",
"come","DETRZ+come","aku",2,"m-ee+pɨ","2sa","meira1998proto[114]",,
"come","DETRZ+come","aku",3,"n-ee+pɨ","3sa","meira1998proto[114]",,
"come","DETRZ+come","aku","1+2","k-ee+pɨ","kut","meira1998proto[114]",,
"come","DETRZ+come","aku","1+2","kəʔ-ee+pɨ","kut","meira1998proto[114]",,
"come","come","car",2,"m-ehɨ","2sa","meira1998proto[114]",,
"come","come","car",3,"n-ehɨ","3sa","meira1998proto[114]",,
"be","be_1","aku",1,"∅-a-","1w","meira1998proto[115]","aʔe",
"be","be_1","car",1,"w-a-","1w","meira1998proto[115]","wae",
"be","be_1","tri",1,"w-a-","1w","meira1998proto[115]","wae",
"go_down","go_down","tri",1,"p-ɨhtə-","tri1p","meira1998proto[116]","p-ɨhtə",
"bathe_intr","DETRZ1","ebak",1,"w-i-","1w","meira2003bakairi[4]","w-i-də",
"go_up",,"ebak",1,"k-əku-","k","meira2003bakairi[4]","k-əku",
"go_up",,"ebak",2,"m-əku-","2sa","meira2003bakairi[4]","m-əku",
"go_up",,"ebak",3,"n-əku-","3sa","meira2003bakairi[4]","n-əku",
"go_up",,"ebak","1+2","kɨd-əku-","kut","meira2003bakairi[4]","kɨd-əku",
"go_down","go_down","yuk",1,"j-ewtu-","1p","meira2003primeras","aw y-éwtu","ewuhtu only looks partially cognate."
"fall",,"yuk",1,"j-ata-","1p","meira2006syntactic[139]","y-ata",
"fall",,"yuk",2,"m-ata-","2sa","meira2006syntactic[139]","m-ata",
"fall",,"yuk",3,"n-ata-","3sa","meira2006syntactic[139]","n-ata",
"go","go","yuk",1,"∅-to-","1w","meira2006syntactic[139]","to",
"be","be_1","yuk",1,"j-a-","1p","meira2006syntactic[142]","patume=ya",
"be","be_2","yuk",1,"j-e-","1p","meira2006syntactic[143]","yukpa=p=ye",
