"Language_ID","Form","Source","Cognateset_ID","Class","Comment","Cog_Cert","Meaning_ID"
"uxc","ki","franchetto2008absolutivo[48]","say","–",,1,"say"
"ikp","ge","ikpengpacheco2001[209]","say","S_A_",,1,"say"
"ikp","k[e]","ikpengpacheco2001[209, 279]","say","S_A_",,1,"say"
"ara","ge","alves2017arara[80]","say","S_A_",,1,"say"
"ara","ke","alves2017arara[153]","say","S_A_",,1,"say"
"hix","ka[s]","hixkaryanaderby1985[182]","say","S_A_",,1,"say"
"car","ka","meira1998proto[113]","say","–",,1,"say"
"apa","ka[ʃi]","koehn1986apalai[107]","say","S_A_",,1,"say"
"wai","ka[s]","waiwaihawkins1998[26]","say","–",,1,"say"
"kax","ka[s]","pc[Spike Gildea]","say","S_A_",,1,"say"
"tri","ka","meira1998proto[113]","say","S_A_",,1,"say"
"way","ka[i]","camargo2010wayana[66]","say","S_A_",,1,"say"
"aku","ka","meira1998proto[113]","say","S_A_",,1,"say"
"mac","ka","macushiabbott1991[59]","say","–",,1,"say"
"pem","ka","swiggers2010gramatica[123]","say","–",,1,"say"
"kar","ka","courtz2008carib[430]","say","S_A_",,1,"say"
"kap","ka","akawaiocaesar2003[125]","say","–",,1,"say"
"pan","ka[h]","mattei1994diccionario[102]","say","S_A_",,1,"say"
"kax","ɨhɨto","pc[Spike Gildea]","go_down","S_P_",,1,"go_down"
"yuk","ew[uh]tu","meira2003primeras","go_down","–",,0.5,"go_down"
"hix","hto","hixkaryanaderby1979[196]","go_down","?",,1,"go_down"
"PWai","hto",,"go_down","?",,1,"go_down"
"wai","hto","waiwaihawkins1998[55]","go_down","–",,1,"go_down"
"PPek","ɨptə",,"go_down","S_A_",,1,"go_down"
"PTar","ɨpɨtə",,"go_down","?",,1,"go_down"
"car","ehɨtə","guerrero2019carijo[118]","go_down","–",,1,"go_down"
"way","ɨptə","camargo2010wayana[44]","go_down","S_A_ / S_P_",,1,"go_down"
"apa","ɨhto","camargo2002lexico[99]","go_down","S_P_",,1,"go_down"
"kar","o+n+ɨʔto","courtz2008carib[263]","DETRZ+CAUS+go_down","S_A_",,1,"go_down"
"mak","əʔtə","maquiritaricaceres2011[450]","go_down","S_P_",,1,"go_down"
"kap","uʔtə","stegeman2014akawaio[139]","go_down","–",,0.5,"go_down"
"pem","uʔtə","alvarez2008clausulas[139]","go_down","–",,0.5,"go_down"
"mac","autɨ","macushiabbott1991[34]","go_down","–",,0.5,"go_down"
"pan","əhtə","mattei1994diccionario[88]","go_down","S_A_",,1,"go_down"
"yab","əhtə","mendez1959yawarana[68]","go_down","–",,1,"go_down"
"wmr","ɨtɨ","bruno1996dictionary[58]","go_down","–",,1,"go_down"
"aku","ɨ[h]tə","gildea1994akuriyo[84]","go_down","S_A_",,1,"go_down"
"ara","ipto+ŋ","alves2017arara[153]","go_down+?","S_A_",,1,"go_down"
"bak","ɨtə+gɨ","von1892bakairi[137]","go_down+?","S_A_",,1,"go_down"
"ikp","ipto+ŋ","pc[Angela Fabíola Alves Chagas]","go_down+?","?",,1,"go_down"
"tri","ɨhtə","meira1998proto[116]","go_down","S_A_",,1,"go_down"
"PPar","ɨɸɨto",,"go_down","S_P_",,1,"go_down"
"kar","uweka","courtz2008carib[418]","defecate","S_P_",,1,"defecate"
"mak","weka","maquiritaricaceres2011[455]","defecate","S_P_",,1,"defecate"
"kax","weka","pc[Spike Gildea]","defecate","S_P_",,1,"defecate"
"ara","watke","souza1993arara[44]","defecate","S_P_",,1,"defecate"
"ikp","atke","alves2013verbo[118]","defecate","S_P_",,1,"defecate"
"way","uika","wayanatavares2005[86, 206]","defecate","S_A_ / S_P_",,1,"defecate"
"tri","weka","triomeira1999[294]","defecate","S_A_",,1,"defecate"
"bak","ə+eke","meira2005bakairi","DETRZ+defecate","S_A_",,1,"defecate"
"apa","weka","camargo2002lexico[96]","defecate","?",,1,"defecate"
"pan","iʔka","mattei1994diccionario[319]","defecate","?","Potentially Sp.",1,"defecate"
"pan","a+iʔka","mattei1994diccionario[319]","DETRZ+defecate","?","Potentially Sa.",1,"defecate"
"apa","ɨto","camargo2002lexico[99]","go","S_A_",,1,"go"
"yuk","ka","largo2011yukpa[63]","say","–",,1,"say"
"ara","it͡ʃi","alves2017arara[153]","be_2","S_A_",,1,"be"
"ara","ap","alves2017arara[200]","be_1","S_A_",,1,"be"
"car","et͡ʃi","guerrero2019carijo[92]","be_2","–",,1,"be"
"hix","ah","hixkaryanaderby1985[197]","be_1","S_A_",,1,"be"
"hix","eʃe","hixkaryanaderby1985[198]","be_2","S_A_",,1,"be"
"ikp","et͡ʃi","ikpengpacheco2001[139]","be_2","S_A_",,1,"be"
"aku","a","meira1998proto[115]","be_1","S_A_",,1,"be"
"car","a","meira1998proto[115]","be_1","–",,1,"be"
"tri","a","meira1998proto[115]","be_1","S_A_",,1,"be"
"yuk","a","meira2006syntactic[142]","be_1","–",,1,"be"
"yuk","e","meira2006syntactic[143]","be_2","–",,1,"be"
"wai","a","pc[Spike Gildea]","be_1","–",,1,"be"
"wai","eeʃi","pc[Spike Gildea]","be_2","–",,1,"be"
"tri","ei","triomeira1999[339]","be_2","S_A_",,1,"be"
"bak","a","von1892bakairi[130]","be_1","S_A_",,1,"be"
"bak","i","von1892bakairi[397]","be_2","S_A_",,1,"be"
"ikp","et͡ʃi","ikpengpacheco2001[139]","be_1","S_A_",,1,"be"
"PPek","ap",,"be_1","S_A_",,1,"be"
"PTir","a",,"be_1","S_A_",,1,"be"
"aku","eʔi","meira1998proto[165]","be_2","S_A_",,1,"be"
"PPek","et͡ʃi",,"be_2","S_A_",,1,"be"
"PTir","eʔi",,"be_2","S_A_",,1,"be"
"PWai","eʃi",,"be_2","S_A_",,1,"be"
"PWai","ah",,"be_1","S_A_",,1,"be"
"mak","ei","maquiritaricaceres2011[292]","be_2","S_A_",,1,"be"
"PWai","ka[s]",,"say","S_A_",,1,"say"
"PWai","[ɨ]to[m]",,"go","S_A_",,1,"go"
"PWai","ee+ɸɨ",,"DETRZ1+bathe_1","S_A_",,1,"bathe_intr"
"PPek","əd+epɨ",,"DETRZ+come","S_A_",,1,"come"
"PPek","epɨ",,"come","S_A_",,1,"come"
"PPek","ɨtə[n]",,"go","S_A_",,1,"go"
"PPek","ke",,"say","S_A_",,1,"say"
"PPek","i+pɨ",,"DETRZ1+bathe_1","S_A_",,1,"bathe_intr"
"PTir","əʔ+epɨ",,"DETRZ+come","S_A_",,1,"come"
